URL,Count
"/check-uk-visa/y/samoa/tourism",5
"/check-uk-visa/y/eritrea/marriage",4
"/check-uk-visa/y/seychelles",10
"/check-uk-visa/y/turks-and-caicos-islands",3
"/check-uk-visa/y/tonga/transit",1
"/check-uk-visa/y/macedonia/transit/no",4
"/check-uk-visa/y/kazakhstan/study",43
"/check-uk-visa/y/cote-d-ivoire/work",12
"/check-uk-visa/y/guinea/tourism",21
"/check-uk-visa/y/turkey/work/six_months_or_less",361
"/check-uk-visa/y/kenya/transit/yes",25
"/check-uk-visa/y/indonesia/transit/no",8
"/check-uk-visa/y/tunisia/study",7
"/check-uk-visa/y/moldova/transit",2
"/check-uk-visa/y/turkey/study/longer_than_six_months",29
"/check-uk-visa/y/sierra-leone/study",4
"/check-uk-visa/y/cyprus-north/work",5
"/check-uk-visa/y/burundi/work",3
"/check-uk-visa/y/pakistan/study/longer_than_six_months",159
"/check-uk-visa/y/turkey/transit/yes",30
"/check-uk-visa/y/portugal",74
"/check-uk-visa/y/vietnam",197
"/check-uk-visa/y/mauritius/marriage",7
"/check-uk-visa/y/saudi-arabia",870
"/check-uk-visa/y/cayman-islands",6
"/check-uk-visa/y/madagascar/family",5
"/print/check-uk-visa/y/belgium",1
"/check-uk-visa/y/georgia/family",4
"/check-uk-visa/y/somalia/study/longer_than_six_months",1
"/check-uk-visa/y/brunei/tourism",11
"/check-uk-visa/y/belarus/family",15
"/check-uk-visa/y/suriname/work/six_months_or_less",3
"/check-uk-visa/y/bangladesh/school",8
"/check-uk-visa/y/dominican-republic/study/longer_than_six_months",1
"/check-uk-visa/y/south-africa/transit",275
"/check-uk-visa/y/equatorial-guinea/transit/no",1
"/check-uk-visa/y/mozambique/family",1
"/check-uk-visa/y/ghana/study/six_months_or_less",23
"/check-uk-visa/y/jordan/family",11
"/check-uk-visa/y/nepal/family",56
"/check-uk-visa/y/laos/transit",1
"/check-uk-visa/y/south-sudan/marriage",1
"/check-uk-visa/y/tajikistan",12
"/print/check-uk-visa/y",12
"/check-uk-visa/y/grenada/family",5
"/check-uk-visa/y/colombia/family",41
"/check-uk-visa/y/nepal/transit/no",6
"/check-uk-visa/y/lebanon/study",23
"/check-uk-visa/y/malawi/work/six_months_or_less",10
"/check-uk-visa/y/maldives/work",1
"/check-uk-visa/y/azerbaijan/transit",2
"/check-uk-visa/y/cambodia/marriage",3
"/check-uk-visa/y/colombia/marriage",24
"/check-uk-visa/y/sri-lanka/transit/yes",15
"/check-uk-visa/y/gambia",51
"/check-uk-visa/y/latvia",40
"/check-uk-visa/y/new-zealand/work/longer_than_six_months",332
"/check-uk-visa/y/kyrgyzstan/work/six_months_or_less",9
"/check-uk-visa/y/new-zealand/family",79
"/check-uk-visa/y/indonesia/work/longer_than_six_months",34
"/check-uk-visa/y/kenya/tourism",313
"/check-uk-visa/y/ecuador/work/longer_than_six_months",4
"/check-uk-visa/y/democratic-republic-of-congo/study/six_months_or_less",1
"/check-uk-visa/y/japan/school",5
"/check-uk-visa/y/jordan/work",61
"/check-uk-visa/y/nicaragua/school",1
"/check-uk-visa/y/kyrgyzstan/family",2
"/check-uk-visa/y/congo/study/longer_than_six_months",2
"/check-uk-visa/y/kazakhstan/work/longer_than_six_months",38
"/check-uk-visa/y/new-zealand/tourism",163
"/check-uk-visa/y/bahrain/family",1
"/check-uk-visa/y/india/transit/yes",612
"/check-uk-visa/y/st-vincent-and-the-grenadines/marriage",1
"/check-uk-visa/y/macedonia/study/six_months_or_less",5
"/check-uk-visa/y/belarus/study/six_months_or_less",13
"/print/check-uk-visa/y/ghana/transit/yes",1
"/check-uk-visa/y/togo/work/six_months_or_less",4
"/check-uk-visa/y/serbia/school",1
"/check-uk-visa/y/bolivia/study/longer_than_six_months",8
"/check-uk-visa/y/botswana/study/six_months_or_less",6
"/check-uk-visa/y/venezuela/work/six_months_or_lesshttps",1
"/check-uk-visa/y/russia/study",167
"/check-uk-visa/y/libya/tourism",81
"/check-uk-visa/y/belarus/study/longer_than_six_months",8
"/check-uk-visa/y/swaziland/transit",2
"/check-uk-visa/y/mauritania",3
"/check-uk-visa/y/bosnia-and-herzegovina/work/six_months_or_less",19
"/check-uk-visa/y/antigua-and-barbuda/work/six_months_or_less",1
"/check-uk-visa/y/guatemala/work/longer_than_six_months",2
"/check-uk-visa/y/india/work",1595
"/check-uk-visa/y/cambodia/study/longer_than_six_months",2
"/check-uk-visa/y/gabon/work/six_months_or_less",3
"/check-uk-visa/y/qatar/transit/yes",3
"/check-uk-visa/y/Philippines",2
"/check-uk-visa/y/trinidad-and-tobago/work/longer_than_six_months",12
"/check-uk-visa/y/somalia/tourism",23
"/check-uk-visa/y/morocco/family",57
"/check-uk-visa/y/kenya/transit/no",31
"/check-uk-visa/y/tajikistan/tourism",6
"/check-uk-visa/y/algeria/medical",5
"/check-uk-visa/y/cameroon/transit",3
"/check-uk-visa/y/dominica/study/longer_than_six_months",2
"/check-uk-visa/y/burma/work/longer_than_six_months",6
"/check-uk-visa/y/peru/study/longer_than_six_months",14
"/check-uk-visa/y/moldova/study/six_months_or_less",9
"/check-uk-visa/y/lesotho/work/six_months_or_less",1
"/check-uk-visa/y/sudan/work",32
"/check-uk-visa/y/guyana/work",4
"/check-uk-visa/y/andorra/work/longer_than_six_months",3
"/check-uk-visa/y/liberia/work/six_months_or_less",9
"/check-uk-visa/y/jordan/school",2
"/check-uk-visa/y/bosnia-and-herzegovina/transit/yes",2
"/check-uk-visa/y/ukraine/transit",21
"/check-uk-visa/y/argentina/family",27
"/check-uk-visa/y/nepal/marriage",9
"/check-uk-visa/y/togo/work",3
"/check-uk-visa/y/pakistan/transit/yes",56
"/check-uk-visa/y/indonesia/work",116
"/check-uk-visa/y/zimbabwe/school",15
"/check-uk-visa/y/trinidad-and-tobago",54
"/check-uk-visa/y/ghana/study",46
"/check-uk-visa/y/thailand/study/six_months_or_less",53
